date,avg_co,co_resid,wind_power_dir_avg,power_norm,speed_norm
06jan2001,1.966667,1.212914,234.7389,37.97091,38.89289
07jan2001,1.2,.5028787,308.9915,29.28734,37.43171
08jan2001,1.145833,.460899,344.8258,27.71329,40.62619
09jan2001,1.513044,.8546765,263.5081,55.63684,46.07487
10jan2001,1.779167,1.059596,219.3728,37.12278,45.48299
11jan2001,2.316667,1.602065,207.5375,9.32815,27.61056
12jan2001,2.258333,1.513737,222.1259,5.872265,21.94428
13jan2001,2.070833,1.31708,142.2923,14.79625,29.46392
14jan2001,1.658333,.9612119,172.5658,26.75207,39.9411
15jan2001,1.45,.708583,257.4366,86.19582,60.03506
16jan2001,1.378261,.6634112,269.5233,30.86046,42.58506
17jan2001,1.920833,1.257745,239.444,17.95526,35.04359
18jan2001,1.7125,.9978982,210.1735,27.8648,36.60601
19jan2001,1.033333,.3452199,358.1065,70.10982,53.17591
20jan2001,1.370833,.6735631,290.2043,24.06498,35.55561
21jan2001,1.7125,1.071861,242.4228,9.736723,24.80382
22jan2001,2.217391,1.532457,216.1011,11.03605,26.53629
23jan2001,1.454167,.739317,254.0392,16.0405,32.40984
24jan2001,1.020833,.3577453,322.9441,68.55937,51.6653
25jan2001,1.4875,.8293808,256.7187,21.49375,28.9538
26jan2001,1.3625,.6179039,227.1113,48.06908,39.70295
27jan2001,1.275,.5777297,284.2544,53.18101,46.47433
28jan2001,1.75,1.109361,239.7841,13.42947,28.06193
29jan2001,2.058333,1.267923,137.3572,55.62388,41.81876
30jan2001,1.856522,1.092679,232.8611,21.33971,24.88791
31jan2001,1.3875,.6679295,263.3873,54.00708,52.15894
01feb2001,1.441667,.6409559,277.3876,52.45905,46.36806
02feb2001,1.445833,.671611,268.9866,54.16399,49.31446
03feb2001,1.454167,.6143048,188.0109,47.5106,47.95768
04feb2001,1.691667,.9084363,253.3267,10.18462,20.78043
05feb2001,2.1,1.272474,246.9099,35.28563,38.4875
06feb2001,2.5625,1.761541,323.381,5.992743,10.64902
07feb2001,2.514286,1.708606,96.67887,22.39851,26.65395
08feb2001,2.65,1.772123,196.6226,56.10252,39.32138
09feb2001,1.508696,.6008238,274.5431,80.81212,36.8397
10feb2001,1.5125,.7291209,303.126,27.08141,38.59401
